Model,Implementation,Noise Std,Test CE,Test Accuracy,Test F1 Macro,Clean Test CE,Clean Test Accuracy,Clean Test F1 Macro,CE Increase,Accuracy Drop,F1 Drop
M0,NumPy propia,0.0,3.8561054958227263,0.050733466142017486,0.009317756283787861,3.8561054958227263,0.050733466142017486,0.009317756283787861,0.0,0.0,0.0
M1,NumPy propia,0.0,0.33149838368212253,0.8839954559673356,0.8564385050286248,0.33149838368212253,0.8839954559673356,0.8564385050286248,0.0,0.0,0.0
M2,PyTorch,0.0,0.32951345051431463,0.8858311793081874,0.8585557254435356,0.32951345051431463,0.8858311793081874,0.8585557254435356,0.0,0.0,0.0
M3,PyTorch,0.0,0.2998578505910623,0.8911737104660926,0.8610582686443234,0.2998578505910623,0.8911737104660926,0.8610582686443234,0.0,0.0,0.0
M0,NumPy propia,0.05,3.85481562358763,0.04848614563953967,0.009586420010438234,3.8561054958227263,0.050733466142017486,0.009317756283787861,-0.0012898722350964675,0.0022473205024778134,-0.0002686637266503724
M1,NumPy propia,0.05,0.37832789165131825,0.8701657913367029,0.8378504376879323,0.33149838368212253,0.8839954559673356,0.8564385050286248,0.046829507969195716,0.013829664630632732,0.018588067340692516
M2,PyTorch,0.05,0.3812339449445402,0.869531931707799,0.8362122312515214,0.32951345051431463,0.8858311793081874,0.8585557254435356,0.05172049443022558,0.016299247600388478,0.0223434941920142
M3,PyTorch,0.05,0.3567663801813717,0.8759446154859316,0.8374026899075199,0.2998578505910623,0.8911737104660926,0.8610582686443234,0.0569085295903094,0.015229094980161006,0.023655578736803573
M0,NumPy propia,0.1,3.8544266061937447,0.04700439585768616,0.010162047702917433,3.8561054958227263,0.050733466142017486,0.009317756283787861,-0.0016788896289816613,0.0037290702843313234,-0.0008442914191295718
M1,NumPy propia,0.1,0.7042129250945138,0.7649697887683367,0.7065692195229373,0.33149838368212253,0.8839954559673356,0.8564385050286248,0.3727145414123913,0.11902566719899899,0.14986928550568757
M2,PyTorch,0.1,0.7029607084475393,0.7669289912576763,0.7108354753109088,0.32951345051431463,0.8858311793081874,0.8585557254435356,0.3734472579332247,0.11890218805051112,0.1477202501326268
M3,PyTorch,0.1,1.2633285940171355,0.6945372824709001,0.6420468070234872,0.2998578505910623,0.8911737104660926,0.8610582686443234,0.9634707434260732,0.19663642799519254,0.2190114616208363
M0,NumPy propia,0.15,3.8550224741923107,0.044650060093185596,0.009732624802340753,3.8561054958227263,0.050733466142017486,0.009317756283787861,-0.001083021630415626,0.0060834060488318895,-0.0004148685185528921
M1,NumPy propia,0.15,1.563025987757456,0.5707370881970398,0.5189912114498818,0.33149838368212253,0.8839954559673356,0.8564385050286248,1.2315276040753333,0.3132583677702958,0.33744729357874303
M2,PyTorch,0.15,1.4906191117429202,0.5864107081117569,0.5334378941036754,0.32951345051431463,0.8858311793081874,0.8585557254435356,1.1611056612286055,0.29942047119643056,0.3251178313398603
M3,PyTorch,0.15,3.0890840962751205,0.4447389650800968,0.4054267941539202,0.2998578505910623,0.8911737104660926,0.8610582686443234,2.789226245684058,0.4464347453859958,0.45563147449040325
M0,NumPy propia,0.2,3.858654968119584,0.042262796555754954,0.010042063364775656,3.8561054958227263,0.050733466142017486,0.009317756283787861,0.0025494722968577577,0.008470669586262532,-0.000724307080987795
M1,NumPy propia,0.2,2.897539716674349,0.3543028367276379,0.33829767200975225,0.33149838368212253,0.8839954559673356,0.8564385050286248,2.5660413329922265,0.5296926192396978,0.5181408330188726
M2,PyTorch,0.2,2.7744817729368316,0.372923492319597,0.35038681511056236,0.32951345051431463,0.8858311793081874,0.8585557254435356,2.444968322422517,0.5129076869885905,0.5081689103329733
M3,PyTorch,0.2,4.833817261958213,0.2685506840744826,0.23235357690298128,0.2998578505910623,0.8911737104660926,0.8610582686443234,4.533959411367151,0.6226230263916099,0.6287046917413421
M0,NumPy propia,0.3,3.870455372453771,0.03744710976473106,0.010577927078655952,3.8561054958227263,0.050733466142017486,0.009317756283787861,0.014349876631044811,0.013286356377286423,-0.0012601707948680912
M1,NumPy propia,0.3,6.536250574182235,0.1000428061048091,0.11230265417972962,0.33149838368212253,0.8839954559673356,0.8564385050286248,6.204752190500113,0.7839526498625266,0.7441358508488952
M2,PyTorch,0.3,6.275742496154536,0.12912626154530038,0.129122435812965,0.32951345051431463,0.8858311793081874,0.8585557254435356,5.946229045640222,0.7567049177628871,0.7294332896305706
M3,PyTorch,0.3,6.71063027031525,0.1031709445331665,0.08670588572851848,0.2998578505910623,0.8911737104660926,0.8610582686443234,6.4107724197241875,0.7880027659329261,0.774352382915805
